date,cpi,infl_mom,infl_yoy
1960-01-01,29.3,,
1960-02-01,29.4,0.0034129692832762792,
1960-03-01,29.4,0.0,
1960-04-01,29.5,0.003401360544217802,
1960-05-01,29.5,0.0,
1960-06-01,29.6,0.003389830508474523,
1960-07-01,29.6,0.0,
1960-08-01,29.6,0.0,
1960-09-01,29.6,0.0,
1960-10-01,29.8,0.006756756756756799,
1960-11-01,29.8,0.0,
1960-12-01,29.8,0.0,
1961-01-01,29.8,0.0,0.017064846416382284
1961-02-01,29.8,0.0,0.013605442176870763
1961-03-01,29.8,0.0,0.013605442176870763
1961-04-01,29.8,0.0,0.01016949152542379
1961-05-01,29.8,0.0,0.01016949152542379
1961-06-01,29.8,0.0,0.006756756756756799
1961-07-01,30.0,0.006711409395973034,0.013513513513513375
1961-08-01,29.9,-0.0033333333333334103,0.010135135135135087
1961-09-01,30.0,0.0033444816053511683,0.013513513513513375
1961-10-01,30.0,0.0,0.006711409395973034
1961-11-01,30.0,0.0,0.006711409395973034
1961-12-01,30.0,0.0,0.006711409395973034
1962-01-01,30.0,0.0,0.006711409395973034
1962-02-01,30.1,0.0033333333333334103,0.010067114093959662
1962-03-01,30.1,0.0,0.010067114093959662
1962-04-01,30.2,0.0033222591362125353,0.01342281879194629
1962-05-01,30.2,0.0,0.01342281879194629
1962-06-01,30.2,0.0,0.01342281879194629
1962-07-01,30.3,0.0033112582781458233,0.010000000000000009
1962-08-01,30.3,0.0,0.013377926421404673
1962-09-01,30.4,0.0033003300330032292,0.013333333333333197
1962-10-01,30.4,0.0,0.013333333333333197
1962-11-01,30.4,0.0,0.013333333333333197
1962-12-01,30.4,0.0,0.013333333333333197
1963-01-01,30.4,0.0,0.013333333333333197
1963-02-01,30.4,0.0,0.009966777408637828
1963-03-01,30.5,0.00328947368421062,0.013289036544850363
1963-04-01,30.5,0.0,0.009933774834437026
1963-05-01,30.5,0.0,0.009933774834437026
1963-06-01,30.6,0.003278688524590123,0.013245033112582849
1963-07-01,30.7,0.0032679738562091387,0.013201320132013139
1963-08-01,30.7,0.0,0.013201320132013139
1963-09-01,30.7,0.0,0.009868421052631637
1963-10-01,30.8,0.0032573289902280145,0.013157894736842257
1963-11-01,30.8,0.0,0.013157894736842257
1963-12-01,30.9,0.0032467532467532756,0.016447368421052655
1964-01-01,30.9,0.0,0.016447368421052655
1964-02-01,30.9,0.0,0.016447368421052655
1964-03-01,30.9,0.0,0.013114754098360715
1964-04-01,30.9,0.0,0.013114754098360715
1964-05-01,30.9,0.0,0.013114754098360715
1964-06-01,31.0,0.003236245954692629,0.013071895424836555
1964-07-01,31.1,0.003225806451612856,0.013029315960912058
1964-08-01,31.0,-0.003215434083601365,0.009771986970684043
1964-09-01,31.1,0.003225806451612856,0.013029315960912058
1964-10-01,31.1,0.0,0.009740259740259827
1964-11-01,31.2,0.003215434083601254,0.01298701298701288
1964-12-01,31.2,0.0,0.009708737864077666
1965-01-01,31.2,0.0,0.009708737864077666
1965-02-01,31.2,0.0,0.009708737864077666
1965-03-01,31.3,0.0032051282051281937,0.012944983818770295
1965-04-01,31.4,0.0031948881789136685,0.016181229773462702
1965-05-01,31.4,0.0,0.016181229773462702
1965-06-01,31.6,0.006369426751592355,0.019354838709677358
1965-07-01,31.6,0.0,0.016077170418006492
1965-08-01,31.6,0.0,0.019354838709677358
1965-09-01,31.6,0.0,0.016077170418006492
1965-10-01,31.7,0.0031645569620253333,0.019292604501607746
1965-11-01,31.7,0.0,0.01602564102564097
1965-12-01,31.8,0.003154574132492094,0.019230769230769384
1966-01-01,31.8,0.0,0.019230769230769384
1966-02-01,32.0,0.0062893081761006275,0.025641025641025772
1966-03-01,32.1,0.0031250000000000444,0.025559105431310014
1966-04-01,32.3,0.006230529595015355,0.028662420382165488
1966-05-01,32.3,0.0,0.028662420382165488
1966-06-01,32.4,0.003095975232198178,0.025316455696202445
1966-07-01,32.5,0.0030864197530864335,0.028481012658227778
1966-08-01,32.7,0.006153846153846176,0.034810126582278444
1966-09-01,32.7,0.0,0.034810126582278444
1966-10-01,32.9,0.006116207951070152,0.03785488958990535
1966-11-01,32.9,0.0,0.03785488958990535
1966-12-01,32.9,0.0,0.03459119496855334
1967-01-01,32.9,0.0,0.03459119496855334
1967-02-01,32.9,0.0,0.028124999999999956
1967-03-01,33.0,0.003039513677811634,0.028037383177569986
1967-04-01,33.1,0.003030303030303161,0.024767801857585203
1967-05-01,33.2,0.0030211480362538623,0.02786377708978338
1967-06-01,33.3,0.0030120481927708997,0.02777777777777768
1967-07-01,33.4,0.0030030030030030463,0.027692307692307683
1967-08-01,33.5,0.0029940119760478723,0.024464831804281273
1967-09-01,33.6,0.0029850746268658135,0.02752293577981657
1967-10-01,33.7,0.0029761904761904656,0.024316109422492627
1967-11-01,33.8,0.0029673590504448732,0.027355623100303816
1967-12-01,33.9,0.002958579881656931,0.03039513677811545
1968-01-01,34.1,0.005899705014749346,0.03647416413373872
1968-02-01,34.2,0.0029325513196480912,0.03951367781155035
1968-03-01,34.3,0.0029239766081869956,0.039393939393939315
1968-04-01,34.4,0.00291545189504383,0.0392749244712991
1968-05-01,34.5,0.0029069767441860517,0.03915662650602392
1968-06-01,34.7,0.005797101449275477,0.042042042042042205
1968-07-01,34.9,0.0057636887608067955,0.04491017964071853
1968-08-01,35.0,0.002865329512893977,0.04477611940298498
1968-09-01,35.1,0.0028571428571428914,0.044642857142857206
1968-10-01,35.3,0.005698005698005604,0.047477744807121525
1968-11-01,35.4,0.0028328611898016387,0.047337278106508895
1968-12-01,35.5,0.0028248587570622874,0.0471976401179941
1969-01-01,35.6,0.0028169014084507005,0.04398826979472137
1969-02-01,35.8,0.00561797752808979,0.04678362573099393
1969-03-01,36.1,0.008379888268156499,0.05247813411078739
1969-04-01,36.3,0.005540166204986097,0.05523255813953476
1969-05-01,36.4,0.0027548209366392573,0.05507246376811592
1969-06-01,36.6,0.005494505494505475,0.054755043227665556
1969-07-01,36.8,0.005464480874316724,0.054441260744985565
1969-08-01,37.0,0.005434782608695787,0.05714285714285716
1969-09-01,37.1,0.002702702702702675,0.056980056980056926
1969-10-01,37.3,0.005390835579514697,0.056657223796034106
1969-11-01,37.5,0.00536193029490617,0.05932203389830515
1969-12-01,37.7,0.005333333333333412,0.06197183098591563
1970-01-01,37.8,0.0026525198938991412,0.06179775280898858
1970-02-01,38.0,0.005291005291005346,0.06145251396648055
1970-03-01,38.2,0.0052631578947368585,0.05817174515235468
1970-04-01,38.5,0.00785340314136107,0.060606060606060774
1970-05-01,38.6,0.0025974025974027093,0.06043956043956045
1970-06-01,38.8,0.005181347150258864,0.060109289617486183
1970-07-01,39.0,0.005154639175257714,0.05978260869565233
1970-08-01,39.0,0.0,0.054054054054053946
1970-09-01,39.2,0.00512820512820511,0.05660377358490565
1970-10-01,39.4,0.005102040816326481,0.05630026809651478
1970-11-01,39.6,0.005076142131979822,0.05600000000000005
1970-12-01,39.8,0.005050505050504972,0.055702917771883076
1971-01-01,39.8,0.0,0.05291005291005302
1971-02-01,39.9,0.002512562814070307,0.050000000000000044
1971-03-01,40.0,0.0025062656641603454,0.04712041884816753
1971-04-01,40.1,0.0024999999999999467,0.04155844155844157
1971-05-01,40.3,0.004987531172069737,0.04404145077720201
1971-06-01,40.6,0.007444168734491496,0.046391752577319645
1971-07-01,40.7,0.0024630541871921707,0.04358974358974366
1971-08-01,40.8,0.002457002457002311,0.04615384615384599
1971-09-01,40.8,0.0,0.04081632653061207
1971-10-01,40.9,0.002450980392156854,0.038071065989847774
1971-11-01,40.9,0.0,0.03282828282828265
1971-12-01,41.1,0.004889975550122383,0.03266331658291466
1972-01-01,41.1,0.0,0.03266331658291466
1972-02-01,41.3,0.0048661800486617945,0.0350877192982455
1972-03-01,41.4,0.002421307506053294,0.03499999999999992
1972-04-01,41.5,0.0024154589371980784,0.034912718204488824
1972-05-01,41.6,0.002409638554216942,0.032258064516129226
1972-06-01,41.7,0.0024038461538462563,0.027093596059113434
1972-07-01,41.9,0.004796163069544335,0.029484029484029284
1972-08-01,42.0,0.0023866348448686736,0.02941176470588247
1972-09-01,42.1,0.0023809523809523725,0.031862745098039325
1972-10-01,42.3,0.004750593824227822,0.03422982885085579
1972-11-01,42.4,0.0023640661938535423,0.03667481662591676
1972-12-01,42.5,0.002358490566037874,0.03406326034063256
1973-01-01,42.6,0.0023529411764706687,0.03649635036496357
1973-02-01,42.9,0.007042253521126751,0.03874092009685226
1973-03-01,43.3,0.00932400932400923,0.04589371980676327
1973-04-01,43.6,0.006928406466512715,0.050602409638554224
1973-05-01,43.9,0.006880733944954143,0.05528846153846145
1973-06-01,44.2,0.006833712984054774,0.05995203836930463
1973-07-01,44.3,0.002262443438913797,0.05727923627684972
1973-08-01,45.1,0.01805869074492117,0.07380952380952377
1973-09-01,45.2,0.0022172949002217113,0.07363420427553447
1973-10-01,45.6,0.008849557522123908,0.07801418439716312
1973-11-01,45.9,0.006578947368421018,0.08254716981132071
1973-12-01,46.2,0.0065359477124184995,0.08705882352941186
1974-01-01,46.6,0.008658008658008587,0.0938967136150235
1974-02-01,47.2,0.012875536480686733,0.10023310023310028
1974-03-01,47.8,0.012711864406779627,0.10392609699769051
1974-04-01,48.0,0.004184100418409997,0.10091743119266061
1974-05-01,48.6,0.012499999999999956,0.1070615034168565
1974-06-01,49.0,0.008230452674897082,0.10859728506787314
1974-07-01,49.4,0.008163265306122325,0.1151241534988714
1974-08-01,50.0,0.012145748987854255,0.10864745011086474
1974-09-01,50.6,0.01200000000000001,0.11946902654867242
1974-10-01,51.1,0.009881422924901129,0.1206140350877194
1974-11-01,51.5,0.007827788649706457,0.12200435729847503
1974-12-01,51.9,0.007766990291262044,0.12337662337662336
1975-01-01,52.1,0.003853564547206201,0.11802575107296143
1975-02-01,52.5,0.007677543186180413,0.11228813559322037
1975-03-01,52.7,0.003809523809523929,0.10251046025104604
1975-04-01,52.9,0.003795066413662118,0.1020833333333333
1975-05-01,53.2,0.005671077504725952,0.094650205761317
1975-06-01,53.6,0.007518796992481258,0.09387755102040818
1975-07-01,54.2,0.011194029850746245,0.09716599190283404
1975-08-01,54.3,0.0018450184501843658,0.08599999999999985
1975-09-01,54.6,0.005524861878453136,0.07905138339920947
1975-10-01,54.9,0.005494505494505475,0.07436399217221124
1975-11-01,55.3,0.007285974499089187,0.0737864077669903
1975-12-01,55.5,0.003616636528029016,0.06936416184971095
1976-01-01,55.6,0.0018018018018017834,0.06717850287907878
1976-02-01,55.8,0.003597122302158251,0.06285714285714272
1976-03-01,55.9,0.0017921146953405742,0.06072106261859567
1976-04-01,56.1,0.003577817531305927,0.060491493383743045
1976-05-01,56.5,0.007130124777183555,0.06203007518796988
1976-06-01,56.8,0.005309734513274211,0.05970149253731338
1976-07-01,57.1,0.00528169014084523,0.053505535055350606
1976-08-01,57.4,0.005253940455341555,0.057090239410681365
1976-09-01,57.6,0.0034843205574912606,0.05494505494505497
1976-10-01,57.9,0.005208333333333259,0.05464480874316946
1976-11-01,58.0,0.0017271157167531026,0.0488245931283906
1976-12-01,58.2,0.0034482758620690834,0.048648648648648596
1977-01-01,58.5,0.005154639175257714,0.05215827338129486
1977-02-01,59.1,0.01025641025641022,0.05913978494623673
1977-03-01,59.5,0.006768189509306133,0.06440071556350624
1977-04-01,60.0,0.008403361344537785,0.06951871657754016
1977-05-01,60.3,0.004999999999999893,0.06725663716814156
1977-06-01,60.7,0.0066334991708127955,0.06866197183098599
1977-07-01,61.0,0.0049423393739702615,0.06830122591943955
1977-08-01,61.2,0.003278688524590123,0.06620209059233462
1977-09-01,61.4,0.0032679738562091387,0.0659722222222221
1977-10-01,61.6,0.0032573289902280145,0.06390328151986191
1977-11-01,61.9,0.004870129870129913,0.0672413793103448
1977-12-01,62.1,0.003231017770597866,0.0670103092783505
1978-01-01,62.5,0.006441223832528209,0.06837606837606836
1978-02-01,62.9,0.006399999999999961,0.06429780033840937
1978-03-01,63.4,0.007949125596184325,0.06554621848739495
1978-04-01,63.9,0.007886435331230235,0.06499999999999995
1978-05-01,64.5,0.009389671361502261,0.06965174129353247
1978-06-01,65.2,0.010852713178294726,0.07413509060955525
1978-07-01,65.7,0.0076687116564417845,0.077049180327869
1978-08-01,66.0,0.004566210045662045,0.07843137254901955
1978-09-01,66.5,0.007575757575757569,0.08306188925081437
1978-10-01,67.1,0.009022556390977376,0.08928571428571419
1978-11-01,67.4,0.0044709388971686526,0.08885298869143798
1978-12-01,67.7,0.004451038575667532,0.09017713365539448
1979-01-01,68.3,0.008862629246676468,0.0928
1979-02-01,69.1,0.01171303074670571,0.09856915739268679
1979-03-01,69.8,0.01013024602026058,0.10094637223974767
1979-04-01,70.6,0.011461318051575908,0.10485133020344284
1979-05-01,71.5,0.012747875354107707,0.10852713178294571
1979-06-01,72.3,0.01118881118881121,0.10889570552147232
1979-07-01,73.1,0.011065006915629283,0.1126331811263317
1979-08-01,73.8,0.009575923392612928,0.11818181818181817
1979-09-01,74.6,0.01084010840108407,0.12180451127819536
1979-10-01,75.2,0.008042895442359255,0.12071535022354718
1979-11-01,75.9,0.009308510638297962,0.12611275964391688
1979-12-01,76.7,0.010540184453227797,0.13293943870014768
1980-01-01,77.8,0.014341590612777066,0.1390922401171304
1980-02-01,78.9,0.01413881748071999,0.14182344428364702
1980-03-01,80.1,0.015209125475285079,0.14756446991404015
1980-04-01,81.0,0.011235955056179803,0.14730878186968854
1980-05-01,81.8,0.00987654320987641,0.1440559440559439
1980-06-01,82.7,0.011002444987775029,0.14384508990318134
1980-07-01,82.7,0.0,0.13132694938440514
1980-08-01,83.3,0.007255139056831839,0.12872628726287272
1980-09-01,84.0,0.008403361344537785,0.126005361930295
1980-10-01,84.8,0.00952380952380949,0.12765957446808507
1980-11-01,85.5,0.008254716981132004,0.1264822134387351
1980-12-01,86.3,0.009356725146198785,0.1251629726205996
1981-01-01,87.0,0.008111239860950192,0.11825192802056561
1981-02-01,87.9,0.010344827586207028,0.11406844106463887
1981-03-01,88.5,0.0068259385665527805,0.10486891385767794
1981-04-01,89.1,0.006779661016949046,0.09999999999999987
1981-05-01,89.8,0.007856341189674598,0.097799511002445
1981-06-01,90.6,0.008908685968819663,0.09552599758162028
1981-07-01,91.6,0.011037527593819041,0.10761789600967342
1981-08-01,92.3,0.007641921397379958,0.1080432172869148
1981-09-01,93.2,0.009750812567713929,0.10952380952380958
1981-10-01,93.4,0.0021459227467810482,0.10141509433962281
1981-11-01,93.7,0.0032119914346895317,0.09590643274853794
1981-12-01,94.0,0.0032017075773744796,0.0892236384704519
1982-01-01,94.3,0.0031914893617019935,0.0839080459770114
1982-02-01,94.6,0.0031813361611876534,0.07622298065984068
1982-03-01,94.5,-0.0010570824524311906,0.06779661016949157
1982-04-01,94.9,0.004232804232804366,0.06509539842873191
1982-05-01,95.8,0.009483667017913477,0.06681514476614692
1982-06-01,97.0,0.012526096033403045,0.07064017660044164
1982-07-01,97.5,0.005154639175257714,0.06441048034934505
1982-08-01,97.7,0.002051282051282133,0.05850487540628402
1982-09-01,97.9,0.0020470829068577334,0.0504291845493563
1982-10-01,98.2,0.003064351378958108,0.051391862955032064
1982-11-01,98.0,-0.0020366598778004397,0.04589114194236932
1982-12-01,97.6,-0.004081632653061273,0.038297872340425476
1983-01-01,97.8,0.002049180327868827,0.03711558854718988
1983-02-01,97.9,0.0010224948875257045,0.03488372093023262
1983-03-01,97.9,0.0,0.035978835978836
1983-04-01,98.6,0.007150153217568844,0.03898840885142252
1983-05-01,99.2,0.006085192697768749,0.03549060542797511
1983-06-01,99.5,0.003024193548387011,0.025773195876288568
1983-07-01,99.9,0.004020100502512669,0.024615384615384706
1983-08-01,100.2,0.0030030030030030463,0.025588536335721557
1983-09-01,100.7,0.004990019960079861,0.02860061287027582
1983-10-01,101.0,0.002979145978152964,0.02851323828920571
1983-11-01,101.2,0.001980198019801982,0.03265306122448974
1983-12-01,101.3,0.0009881422924900019,0.037909836065573854
1984-01-01,101.9,0.005923000987166915,0.04192229038854811
1984-02-01,102.4,0.004906771344455274,0.04596527068437184
1984-03-01,102.6,0.001953124999999778,0.0480081716036771
1984-04-01,103.1,0.004873294346978474,0.045638945233265726
1984-05-01,103.4,0.0029097963142581396,0.042338709677419484
1984-06-01,103.7,0.0029013539651836506,0.042211055276381915
1984-07-01,104.1,0.0038572806171648377,0.04204204204204198
1984-08-01,104.5,0.003842459173871271,0.04291417165668654
1984-09-01,105.0,0.004784688995215225,0.04270109235352537
1984-10-01,105.3,0.0028571428571428914,0.04257425742574261
1984-11-01,105.3,0.0,0.04051383399209474
1984-12-01,105.3,0.0,0.03948667324777877
1985-01-01,105.5,0.0018993352326686086,0.03532875368007837
1985-02-01,106.0,0.004739336492890933,0.03515625
1985-03-01,106.4,0.0037735849056603765,0.0370370370370372
1985-04-01,106.9,0.0046992481203007586,0.03685741998060155
1985-05-01,107.3,0.0037418147801682178,0.03771760154738879
1985-06-01,107.6,0.002795899347623365,0.03760848601735778
1985-07-01,107.8,0.0018587360594795044,0.03554274735830942
1985-08-01,108.0,0.0018552875695732052,0.03349282296650724
1985-09-01,108.3,0.002777777777777768,0.03142857142857136
1985-10-01,108.7,0.003693444136657398,0.03228869895536568
1985-11-01,109.0,0.002759889604415866,0.03513770180436859
1985-12-01,109.3,0.0027522935779815683,0.037986704653371284
1986-01-01,109.6,0.0027447392497712553,0.03886255924170601
1986-02-01,109.3,-0.0027372262773722733,0.031132075471698162
1986-03-01,108.8,-0.0045745654162854255,0.022556390977443552
1986-04-01,108.6,-0.0018382352941176405,0.015902712815715425
1986-05-01,108.9,0.002762430939226679,0.01491146318732528
1986-06-01,109.5,0.005509641873278293,0.017657992565055736
1986-07-01,109.5,0.0,0.01576994434137302
1986-08-01,109.7,0.0018264840182649067,0.015740740740740833
1986-09-01,110.2,0.004557885141294404,0.01754385964912286
1986-10-01,110.3,0.0009074410163338875,0.014719411223550916
1986-11-01,110.4,0.0009066183136900996,0.012844036697247763
1986-12-01,110.5,0.0009057971014492239,0.010978956999085021
1987-01-01,111.2,0.0063348416289592535,0.014598540145985384
1987-02-01,111.6,0.003597122302158251,0.021043000914912957
1987-03-01,112.1,0.0044802867383513245,0.030330882352941124
1987-04-01,112.7,0.00535236396074934,0.037753222836095945
1987-05-01,113.1,0.003549245785270605,0.038567493112947604
1987-06-01,113.5,0.0035366931918656697,0.0365296803652968
1987-07-01,113.8,0.002643171806167466,0.03926940639269394
1987-08-01,114.4,0.005272407732864748,0.042844120328167756
1987-09-01,115.0,0.005244755244755206,0.04355716878402904
1987-10-01,115.3,0.002608695652173809,0.045330915684496764
1987-11-01,115.4,0.0008673026886383273,0.04528985507246386
1987-12-01,115.4,0.0,0.044343891402715
1988-01-01,115.7,0.0025996533795493715,0.04046762589928066
1988-02-01,116.0,0.0025929127052721768,0.03942652329749108
1988-03-01,116.5,0.004310344827586299,0.039250669045495234
1988-04-01,117.1,0.0051502145922746045,0.03904170363797688
1988-05-01,117.5,0.0034158838599487318,0.0389036251105217
1988-06-01,118.0,0.004255319148936065,0.0396475770925111
1988-07-01,118.5,0.004237288135593209,0.04130052724077338
1988-08-01,119.0,0.00421940928270037,0.04020979020979021
1988-09-01,119.8,0.006722689075630228,0.0417391304347825
1988-10-01,120.2,0.0033388981636059967,0.04249783174327848
1988-11-01,120.3,0.0008319467554076532,0.04246100519930662
1988-12-01,120.5,0.0016625103906899863,0.04419410745233954
1989-01-01,121.1,0.004979253112033177,0.046672428694900514
1989-02-01,121.6,0.004128819157720898,0.04827586206896539
1989-03-01,122.3,0.005756578947368363,0.04978540772532192
1989-04-01,123.1,0.006541291905151292,0.05123825789923142
1989-05-01,123.8,0.005686433793663737,0.05361702127659562
1989-06-01,124.1,0.0024232633279481774,0.051694915254237195
1989-07-01,124.4,0.00241740531829171,0.04978902953586495
1989-08-01,124.6,0.001607717041800516,0.04705882352941182
1989-09-01,125.0,0.0032102728731941976,0.04340567612687818
1989-10-01,125.6,0.0047999999999999154,0.04492512479201327
1989-11-01,125.9,0.0023885350318473275,0.046550290939318506
1989-12-01,126.1,0.001588562351072298,0.04647302904564321
1990-01-01,127.4,0.01030927835051565,0.052023121387283267
1990-02-01,128.0,0.0047095761381474865,0.05263157894736836
1990-03-01,128.7,0.005468749999999911,0.05233033524121011
1990-04-01,128.9,0.0015540015540016494,0.04711616571892785
1990-05-01,129.2,0.002327385570209284,0.043618739903069415
1990-06-01,129.9,0.005417956656346812,0.04673650282030639
1990-07-01,130.4,0.0038491147036181506,0.048231511254019255
1990-08-01,131.6,0.009202453987730008,0.05617977528089879
1990-09-01,132.7,0.008358662613981771,0.06159999999999988
1990-10-01,133.5,0.006028636021100375,0.06289808917197459
1990-11-01,133.8,0.0022471910112360494,0.0627482128673551
1990-12-01,133.8,0.0,0.0610626486915149
1991-01-01,134.6,0.005979073243647104,0.05651491365777073
1991-02-01,134.8,0.0014858841010403356,0.05312500000000009
1991-03-01,135.0,0.0014836795252224366,0.04895104895104896
1991-04-01,135.2,0.001481481481481417,0.048875096974398735
1991-05-01,135.6,0.002958579881656931,0.049535603715170407
1991-06-01,136.0,0.002949852507374784,0.046959199384141614
1991-07-01,136.2,0.0014705882352941124,0.04447852760736182
1991-08-01,136.6,0.002936857562408246,0.03799392097264431
1991-09-01,137.2,0.004392386530014614,0.033911077618688834
1991-10-01,137.4,0.001457725947521915,0.02921348314606753
1991-11-01,137.8,0.0029112081513829047,0.029895366218236186
1991-12-01,137.9,0.0007256894049345597,0.03064275037369213
1992-01-01,138.1,0.0014503263234226793,0.026002971768201988
1992-02-01,138.6,0.003620564808110016,0.028189910979228294
1992-03-01,139.3,0.005050505050505194,0.03185185185185202
1992-04-01,139.5,0.00143575017946862,0.031804733727810675
1992-05-01,139.7,0.0014336917562722817,0.030235988200590036
1992-06-01,140.2,0.0035790980672869566,0.03088235294117636
1992-07-01,140.5,0.0021398002853068032,0.031571218795888534
1992-08-01,140.9,0.002846975088967918,0.03147877013177158
1992-09-01,141.3,0.002838892831795725,0.02988338192419837
1992-10-01,141.8,0.0035385704175512345,0.03202328966521106
1992-11-01,142.0,0.0014104372355430161,0.030478955007256836
1992-12-01,141.9,-0.0007042253521126751,0.029006526468455363
1993-01-01,142.6,0.0049330514446792595,0.03258508327299059
1993-02-01,143.1,0.003506311360448766,0.032467532467532534
1993-03-01,143.6,0.0034940600978337066,0.03086862885857844
1993-04-01,144.0,0.0027855153203342198,0.032258064516129004
1993-05-01,144.2,0.001388888888888884,0.0322118826055835
1993-06-01,144.4,0.0013869625520113171,0.029957203994293913
1993-07-01,144.4,0.0,0.0277580071174377
1993-08-01,144.8,0.0027700831024930483,0.02767920511000721
1993-09-01,145.1,0.002071823204419676,0.02689313517338987
1993-10-01,145.7,0.004135079255685792,0.027503526093088704
1993-11-01,145.8,0.000686341798215695,0.026760563380281877
1993-12-01,145.8,0.0,0.02748414376321362
1994-01-01,146.2,0.00274348422496562,0.02524544179523147
1994-02-01,146.7,0.0034199726402188713,0.02515723270440251
1994-03-01,147.2,0.0034083162917519783,0.025069637883008422
1994-04-01,147.4,0.0013586956521740579,0.02361111111111125
1994-05-01,147.5,0.0006784260515604323,0.02288488210818307
1994-06-01,148.0,0.003389830508474523,0.024930747922437657
1994-07-01,148.4,0.002702702702702675,0.027700831024930705
1994-08-01,149.0,0.0040431266846361336,0.02900552486187835
1994-09-01,149.4,0.0026845637583892135,0.02963473466574773
